username,course_id,willingness
0,66,0.073864026
0,54,0.011488004
0,30,0.106220119
0,173,0.009697279
0,137,0.036905394
0,25,0.091403493
0,81,0.017609757
0,116,0.029968403
1,42,3.78E-05
1,116,0.049010983
2,31,0.008756242
2,170,0
2,226,0.069279719
2,1,0.057450311
2,239,0.050342119
2,116,0.0476525
2,220,0.00226025
2,69,0.089685387
2,202,0.01798291
3,180,0.149959085
3,138,0.167833423
3,101,0.141026949
4,209,0.027569091
4,188,0.012398193
5,173,0.0182957
5,40,0.03030591
5,188,0.011437629
5,177,0.023020108
5,116,0.012815498
6,164,0.006949931
6,246,0.020598657
7,170,0.003476927
7,219,0.05690931
8,2,0.005322418
8,60,0.003381124
8,30,0.006413476
8,153,0
9,62,0.031460735
9,97,0.011685339
9,172,0.133062005
10,53,0.011452359
10,86,0.067594219
11,226,0.005241465
11,65,0.00830316
11,126,0.015620394
11,239,2.33E-07
11,57,0.002718532
11,1,0.021902752
11,99,0.025210754
11,115,0.022021328
11,140,0.074199152
11,203,0.027295655
11,78,3.26E-06
11,110,0.12461508
11,230,0.043596039
11,61,0.013504417
11,93,0.009721145
11,77,0.045862312
11,169,0.023550233
11,12,0.003122279
11,166,0.013009742
11,5,0.00590367
12,185,0.016882557
12,28,0.008461212
13,126,0.03234797
13,220,0.065603886
13,123,0.021867043
14,50,0.001447158
14,3,0.11173311
15,173,0.014745841
15,41,0.011128021
15,37,0.036967533
15,66,0.023078999
15,160,0.016723582
16,84,0.110095938
16,150,0.003822168
16,20,0.005363201
16,130,0.010825983
17,170,0.001405102
17,30,0.007788263
17,90,0.00958008
17,66,0.030118426
18,10,0
18,188,0.037663727
18,179,0.010069945
18,45,0.00344541
18,184,0.003724878
18,168,0.067225399
18,217,0.012045198
18,86,0.099055125
18,25,0.002424241
18,109,0.001050979
18,137,0.018758179
18,157,0.019499663
19,205,0.044087684
19,224,0.265275457
20,132,0.032160465
20,148,0.146171401
20,31,0.02565178
20,72,0.017182004
20,219,2.59E-05
20,30,0.002517491
20,42,0.031471287
20,228,0.035212306
21,155,0.000178712
21,205,0.023783873
21,203,0.026935931
22,169,0.008018156
22,78,0.136178752
22,178,0.009438371
22,16,0.01898173
23,152,0.09937532
23,48,0.027029305
24,101,0.146635015
24,43,0.021253844
25,116,0.130685314
25,86,0.006132547
25,59,0.075491275
26,57,0.002721096
26,140,0.036324157
26,62,0.226229836
26,132,0.018660921
27,19,0.014430868
27,85,0.002180419
27,7,0.003140892
28,97,0.001589554
28,42,0.034768313
29,148,0.0014115
29,172,0.005071092
29,170,0.008574783
30,132,0.004224947
30,158,0.00864289
30,124,0.004960879
30,183,0.003509343
31,168,0.018424606
31,10,0.002994246
31,90,0.0026814
32,107,0.052717499
32,117,0.041762424
32,3,0.006140812
33,3,0.063098239
33,217,0.053868438
33,45,0.032906646
34,211,0.016270336
34,19,0.005812646
35,50,0.009882611
35,40,0.007051442
36,165,0.381152251
36,138,0.010066448
37,187,0.269510545
37,169,0.008723808
37,137,0.099438936
37,242,0.026727768
38,52,0.018871452
38,56,0.011110508
39,157,0.005722671
39,121,0.028460997
39,208,0.001834015
40,213,0.110614485
40,58,0.013205869
40,21,0.006216522
41,5,0.020787481
41,23,0.615078457
42,211,0.01827122
42,24,0.003406578
43,40,0.373553551
43,158,0.036773312
44,218,0.006490554
44,81,0.510615122
44,194,0.004559968
44,189,0.287350407
45,229,0.00196362
45,213,0.000469579
45,232,0.00204963
46,208,0.002721856
46,170,0.07705445
46,210,3.89E-07
47,40,0.146868375
47,51,0.008395057
47,213,0.097722548
47,182,0.179463328
48,170,0
48,224,0.018493704
48,225,0.016864153
48,160,0.008533384
49,19,0.001895776
49,0,0.007000117
49,116,0.004833147
49,137,0.005594453
49,198,0.000644943
50,60,0.010864118
50,168,0.013378645
51,78,0
51,128,0.050793491
51,120,0.214890531
52,90,0.060825697
52,10,0.007027785
53,146,0.000362629
53,129,0.004788785
53,89,0.021090773
53,2,0.040994241
53,174,0.003845662
53,30,0.002046205
53,130,0.005006723
54,8,0.0576209
54,173,0.024513507
54,66,0.017693745
55,239,0.027549084
55,114,0.075072781
55,93,0.038243037
56,67,5.44E-07
56,217,0.101044306
56,12,1.33E-05
56,68,0
56,153,0
56,88,0
56,145,0.002671645
57,240,0.034463207
57,228,0.011981766
58,219,0.009077734
58,213,0.005377864
59,117,0.034751381
59,0,0.001870359
59,28,0.000791276
60,19,0.003488854
60,9,0.024431652
60,84,0.006369368
61,131,0.014616165
61,72,0.06558091
62,246,0.00363954
62,117,0.001925718
62,102,0.002712648
62,12,0.001398192
62,205,0.002735538
63,60,0.003131777
63,10,3.11E-07
64,246,0.138022464
64,28,0.001337686
65,74,0.006263507
65,218,0.006502753
66,162,0.005302356
66,134,0.009854668
67,208,0.002642197
67,230,0.002546193
67,61,0.005098307
67,119,0.006072416
67,63,0.000108626
67,206,0.00579129
67,156,1.63E-06
67,46,0.003034721
67,84,0.006168065
68,104,0.008667973
68,112,0.013499939
68,28,0.003266616
69,148,0.010552334
69,3,0.189332548
69,97,0.058356999
70,93,0.238027607
70,236,0.276271745
71,182,0.097465693
71,40,0.326973918
71,181,0.284106898
72,28,0.003151725
72,167,0.026527669
73,123,0.076947612
73,173,0.016331627
74,100,0.024109686
74,48,0.039649444
75,39,0.066553278
75,60,0.244765688
75,167,0.073972727
75,238,0.018322592
75,66,0.158084057
75,32,0.002927995
75,53,0.046353539
75,133,0.305257285
75,153,0.095453038
75,41,0.234816296
75,30,0.162827963
75,99,0.00249794
75,239,0.019235581
75,126,0.024492536
75,116,0.034606043
75,166,0.008393567
75,173,0.450218851
75,31,0.092828582
75,170,0.375689926
76,17,0.004976198
76,153,3.89E-07
76,118,0.00552489
76,65,0.124120762
76,73,0
76,44,0.005204097
76,239,0.021629096
77,116,0.158689543
77,209,0.011636181
77,153,0.046456191
77,53,0.315806
78,51,3.11E-06
78,116,0.008620547
78,96,0.004193529
78,184,0.00217412
78,12,0.033167006
78,60,5.59E-06
78,19,0.056259962
78,90,4.82E-06
78,10,0.010814829
79,84,0.062112307
79,60,0.055217097
79,210,0.00015579
79,10,0.086550448
79,160,0.046320635
80,110,0.337116445
80,120,0.020848117
80,192,0.170283325
80,175,0.022726454
81,211,0.013053994
81,164,0.013869093
81,246,3.73E-06
81,145,0.00679246
81,28,0.004242703
81,107,0.020987107
82,104,0.002280385
82,65,0.16917936
82,44,0.098376456
83,30,0.154083746
83,148,0.205132006
83,66,0.084715165
83,39,0.02504783
83,220,0.177411946
83,206,0.095346768
83,60,0.053381578
83,173,0.087570591
83,25,0.014766277
83,231,0.016442557
83,215,0.206607582
83,170,0.064497942
84,71,0.055670718
84,101,0.034712415
85,110,0.006266242
85,114,0.172994248
85,5,0
85,174,0.075732173
86,120,0.035848944
86,197,0.069635311
86,43,0.015725054
86,216,0.062782781
86,0,0.011467272
86,211,0.017254248
86,85,0.077018596
87,184,0.09850093
87,137,0.003536865
88,118,0.118935092
88,65,0.008299275
88,8,0.004431111
89,215,0.024568249
89,181,0.283988523
89,51,0.038231795
89,206,0.086356191
90,20,0.00178755
90,168,0.021493918
91,43,0.003925578
91,211,0.108154637
91,164,0.02051707
91,117,0.002999699
92,66,0.014880115
92,169,0.177351417
93,179,0.002653391
93,87,0.002543541
93,236,0.023993258
94,84,0.0065908
94,210,0.053291739
95,78,0.019184667
95,173,0.008796025
95,68,0.182881545
96,179,0.013604567
96,116,0.123352457
96,222,0.018584201
96,42,0.025820376
96,131,0.005511724
97,40,0.261572631
97,182,0.179415385
97,34,0.05317129
97,170,0.013266272
98,27,0.042574352
98,195,0.019875836
98,179,0.002993454
98,50,0.001831847
99,122,0.005548216
99,167,0.108367944
99,137,0.062719916
99,173,0.023228659
99,30,0.132042395
99,41,0.010117359
99,153,0.003186228
99,66,0.003141923
100,140,0.007225733
100,173,0.02788851
100,188,0.267410187
100,30,0.113963215
100,3,0.03235091
101,132,0.011484798
101,137,0.005051468
101,202,0.008606816
101,44,0.121055593
102,185,0.035161994
102,213,0.00171236
102,3,0.043180656
103,184,0.066685145
103,60,0.165123862
104,122,0.007951731
104,184,0.004136708
105,114,0.012238967
105,110,0.015342883
106,132,0.096414713
106,185,0.003979083
106,30,0.009302087
107,197,0.00372043
107,218,0.011415802
107,74,0.013495456
108,73,0.040679006
108,86,0.011295811
108,157,0.03875614
109,11,0.005556325
109,82,0.004600177
110,153,0.006600705
110,168,0.008051557
110,69,0.031619224
110,214,0.00577651
110,132,0.009522204
110,34,0.06308913
110,199,0.007650859
111,2,0.141868202
111,202,0.013743276
111,20,0.004739694
112,24,0.534158519
112,16,0.71697914
113,45,0.140175
113,144,0.272363049
113,41,0.486287961
113,173,0.013846509
114,200,0.004097418
114,143,0.248260679
114,19,0.025270981
114,85,0.124087527
114,246,5.44E-06
115,10,0.016335912
115,40,0.072577463
116,242,0.131664838
116,122,0.003889309
116,125,0.078682852
116,30,0.034464008
116,116,0.013481874
116,176,0.014132771
116,140,0.016008715
116,173,0.078072588
116,219,0
116,206,0.063063455
117,10,0.005192814
117,26,0.005490402
117,120,0.009905039
118,40,0.432235752
118,220,0.002457236
118,215,0.120990471
118,206,0.005665371
118,21,0.007421035
118,170,0.002086674
119,170,0.003579373
119,225,0.010501618
119,60,0.291589719
119,102,0.017225793
119,30,0.003362712
119,37,0.162713244
119,66,0.017532914
120,80,0.05102317
120,25,0.013644638
120,86,0.010531537
121,22,0.021655069
121,106,0.015347115
121,47,0.029042953
122,222,0.037364021
122,137,0.073762816
122,174,0.108377161
122,116,0.00969257
122,8,0.027153743
123,99,0.002502291
123,167,0.001628245
123,49,0.005155825
123,116,0.010386306
124,119,0.015608073
124,112,0.003773206
124,221,0.131552395
124,213,0.003688093
125,12,0.013461257
125,204,0.013516788
125,169,0.004063107
125,3,0.001831083
126,223,0.330332962
126,178,0.146670552
126,127,0.212431568
127,116,0.044479587
127,217,0.102452984
127,184,0.019639701
127,84,0.083674898
127,49,0.04767673
127,235,0.049962854
127,30,0.01078627
127,65,0.284165944
127,209,0.011963171
127,142,0.126510317
127,12,0.061092956
127,190,0.052486291
127,167,0.004849258
128,26,0.130825542
128,136,0.323512025
129,82,0.058918937
129,147,1.63E-06
129,134,0.14492691
130,10,0
130,34,0
131,222,0.002844856
131,42,0.007853197
132,43,0.00093547
132,197,0.004923314
132,85,0.133524976
133,113,0.009677072
133,116,0.039907034
133,118,0.257260292
134,137,0.085111428
134,116,0.010117625
135,99,0.067433377
135,169,0.031651546
135,115,0.000394953
136,114,0.140028615
136,3,0.112041002
136,110,0.0859548
136,116,0.079565365
137,76,0.016443665
137,164,0.012041908
138,50,0.001553975
138,4,0.01030337
139,220,0.051227861
139,96,0.004958514
139,34,0.033402035
140,20,0.006822916
140,7,0.00989157
140,145,0.104138251
141,66,0.104024964
141,112,0.00372163
141,30,0.052593548
141,173,0.115059885
141,217,0.011942068
142,184,0.194038666
142,98,0.113173606
142,128,0.004364546
142,91,0.039045884
142,216,0.003982545
143,182,0.025711099
143,78,0.004836409
143,163,0.006498574
144,19,0.013596246
144,198,0.765171287
145,238,0.177932347
145,198,0.064369938
145,31,0.811975072
145,170,0.999220638
146,137,0.018616389
146,116,0.054053013
147,20,0.006633684
147,212,0.00294719
148,116,0.011352176
148,80,0.033029641
148,173,0.03308687
149,184,0.311323426
149,215,0.066541095
149,144,0.028367297
149,42,0
150,11,0.004926569
150,85,0.0170744
150,197,0.011208413
151,3,0.077448089
151,130,0.111795619
151,154,0.017694457
151,112,0.002480462
151,201,0.009762496
151,2,0.002036205
151,64,0.150101855
152,39,0.002112691
152,53,0.005200176
152,153,0.008314312
